CarData Element;Beschreibung;Technischer Bezeichner;Datentyp;Typischer Wertebereich;Einheit;Streamingfähig
Größe der Hochvoltbatterie;Der Wert gibt die Größe der verbauten Hochvoltbatterie an.;vehicle.drivetrain.batteryManagement.batterySizeMax;float;0 - 300 kWh, INVALID;kWh;
Aktivierungszeit der Diebstahlwarnanlage;Zeitstempel mit der Uhrzeit der letzten Alarmauslösung. Der Wert wird ohne Zeitzoneninformationen bereitgestellt.;vehicle.vehicle.antiTheftAlarmSystem.alarm.activationTime;string;None;;
Anzahl der CBS-Meldungen;Der Wert gibt an, wie viele Servicebedarfsmeldungen maximal vom Fahrzeug per Telematik an BMW übertragen werden. Die tatsächliche Menge übertragener Servicebedarfsmeldungen (siehe separater Key CBS) variiert, je nachdem wie das Fahrzeug genutzt wird und ob Service relevante Schwellwerte erreicht wurden. Hinweis: Nicht alle Condition Based Service-Meldungen, die im Fahrzeug auftreten, werden auch übertragen.;vehicle.status.conditionBasedServicesCount;uint16;0 bis 60 Meldungen;;
Anzahl freie Plätze POI im Navigationssystem;Der Wert gibt an, wie viele POIs (Points of Interest) im Navigationssystem noch frei sind.;vehicle.cabin.infotainment.navigation.pointsOfInterests.available;uint16;25;;
Anzeigeeinheit der Instrumentenanzeige im Fahrzeug;Der Wert gibt die Einheit (Kilometer oder Meilen) der gemessenen Distanzwerte in der Instrumentenanzeige des Fahrzeugs an.;vehicle.cabin.infotainment.displayUnit.distance;string;km, miles;;
Ausrichtung des Fahrzeugs;Der Wert gibt die Ausrichtung des Fahrzeugs zum Zeitpunkt der Datenerfassung in Grad an. Beträgt der Wert 180, zeigte das Fahrzeug genau nach Süden. Beträgt der Wert 0 zeigte das Fahrzeug genau nach Norden. Demnach reichen die Werte von 0 bis 359. Die ermittelte Ausrichtung des Fahrzeugs kann aufgrund der Ungenauigkeit der GPS Ortung von der tatsächlichen Ausrichtung abweichen.;vehicle.cabin.infotainment.navigation.currentLocation.heading;double;0 ° bis 359 °;degrees;
Batteriespannung;Der Wert gibt die zum Zeitpunkt der Datenerfassung aktuelle Batteriespannung im Bordnetz an. Der Wert wird jeweils in Volt angegeben, beispielsweise 14,4 V.;vehicle.electricalSystem.battery.voltage;float;5 V bis 20 V;V;
Bewegungszustand des Fahrzeugs;Der Wert gibt an, ob sich das Fahrzeug zum Zeitpunkt der Datenerfassung in Bewegung befand.;vehicle.isMoving;boolean;ASN_isFalse, ASN_isTrue, ASN_isUnknown;;
Datum der nächsten Inspektion;Der Wert gibt an, wann die nächste Inspektion fällig ist. Er wird jeweils als Datum dargestellt, beispielsweise 30.09.2018 23:00 UTC.;vehicle.status.serviceTime.inspectionDateLegal;string;dd.mm.yyyy hh:mm UTC;;
Datum und Uhrzeit im Fahrzeug;Der Wert gibt die Uhrzeit an, die zum Zeitpunkt der Datenerfassung im Fahrzeug angezeigt wurden.;vehicle.channel.ngtp.timeVehicle;string;00:00 Uhr bis 23:59 Uhr;;
Diebstahlwarnanlage ist eingeschaltet;Die Diebstahlwarnanlage ist aktiv (das Fahrzeug hupt).;vehicle.vehicle.antiTheftAlarmSystem.alarm.isOn;boolean;wahr, falsch;;
Direktheizung Beifahrerseite dritte Sitzreihe;DirectStart-Einstellungen der Sitzheizung auf der Beifahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row3.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Beifahrerseite hinten;DirectStart-Einstellungen der Sitzheizung auf der Beifahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row2.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Beifahrerseite vorn;DirectStart-Einstellungen der Sitzheizung auf der Beifahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row1.passengerSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Fahrerseite dritte Sitzreihe;DirectStart-Einstellungen der Sitzheizung auf der Fahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row3.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Fahrerseite hinten;DirectStart-Einstellungen der Sitzheizung auf der Fahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row2.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Lenkrad;DirectStart-Einstellungen der Lenkradheizung für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.steeringWheel.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktheizung Sitz Fahrerseite vorn;DirectStart-Einstellungen der Sitzheizung auf der Fahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row1.driverSide.heating;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Beifahrerseite dritte Sitzreihe;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row3.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Beifahrerseite hinten;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row2.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Beifahrerseite vorn;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Beifahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row1.passengerSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Fahrerseite dritte Sitzreihe;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Fahrerseite dritte Sitzreihe für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row3.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Fahrerseite hinten;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Fahrerseite hinten für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row2.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Direktkühlung Sitz Fahrerseite vorn;DirectStart-Einstellungen der Sitzkühlung/-belüftung auf der Fahrerseite vorn für die Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.configuration.directStartSettings.seat.row1.driverSide.cooling;string;OFF, ON, AUTOMATIC, NO_CHANGE;;
Distanz bis zum nächsten Service;Der Wert gibt an, wie viele Kilometer zum Zeitpunkt der Datenerfassung noch zum nächsten Service verbleiben. Hinweis: Dieser Wert wird aus den einzelnen CBS-Umfängen berechnet und nicht bei jeder Datenübertragung ermittelt. Für mehr Details siehe "Condition Based Service".;vehicle.status.serviceDistance.next;uint16;0 km bis 100.000 km;;
Distanz Schwellwert für Service Information;Der angegebene statische Wert ist im Fahrzeug hinterlegt und sagt aus, wann der Kunde das erste Mal einen Kilometer bezogenen Hinweis im Fahrzeug erhält, dass ein Service in Kürze fällig wird. Er wird in Kilometern (beispielsweise 2000) angegeben.;vehicle.status.serviceDistance.yellow;uint16;2000 km;;
Distanz zum Navigationsziel;Der Wert gibt die zum Zeitpunkt der Datenerfassung gemessene Distanz zum aktiven Navigationsziel in Kilometern an. Das Wertespektrum reicht von 0 bis 100000.;vehicle.cabin.infotainment.navigation.destinationSet.distance;uint16;0 km bis 100.000 km;;
Entfrosten hinten aktiv;Aktueller Status der Heckscheibenheizung.;vehicle.cabin.hvac.preconditioning.status.rearDefrostActive;boolean;wahr, falsch;;
Entriegelung der Heckscheibe;Der Wert gibt an, ob die Heckscheibe entriegelt (TRUE) oder geschlossen (FALSE) ist.;vehicle.body.trunk.window.isOpen;boolean;CLOSED, OPEN, INVALID;;
Erlaubnis zur Nutzung des Motors zur Vorkonditionierung.;Dieser Wert zeigt an, ob eine Motorennutzung zur Vorkonditionierung der Standklimatisierung zum Zeitpunkt der Datenerfassung genutzt werden darf. Dies wird vom Kunden festgelegt.;vehicle.vehicle.preConditioning.isRemoteEngineStartAllowed;boolean;true, false, INVALID;;
Fehlerspeicher;Der Fehlerspeicher gibt Auskunft über potenzielle Störungen oder technische Defekte im Fahrzeug. Diese Informationen sind für Werkstätten gedacht. Kundenrelevante Störungen, die dem Fahrer im Fahrzeug angezeigt werden, sind unter dem CarData Element „Check Control Meldungen“ zu finden. Details hierzu sind in der Betriebsanleitung des Fahrzeugs dokumentiert.;vehicle.electronicControlUnit.diagnosticTroubleCodes.raw;;-;;
Fortschritt der Vorklimatisierung;Fortschritt der aktuell aktiven Vorklimatisierung in Prozent.;vehicle.cabin.hvac.preconditioning.status.progress;uint8;0% bis 100%;percent;
Gesamtstatus Schiebedach;Gesamtstatus des Schiebedachs des Fahrzeugs.;vehicle.cabin.sunroof.overallStatus;string;INVALID, OPEN, OPEN_TILT, INTERMEDIATE_TILT, CLOSED;;
Grund für Nichtausführung der Vorkonditionierung der Standklimatisierung;Der Wert gibt den Grund für Nichtausführung der Standklimatisierung zum Zeitpunkt der Datenerfassung an.;vehicle.vehicle.preConditioning.error;string;LowFuel LowBattery QuotaExceeded HeaterFailure ComponentFailure OpenOrUnlocked OK INVALID;;
Kilometerstand;Der Wert gibt den zum Zeitpunkt der Datenerfassung aktuellen Kilometerstand an.;vehicle.vehicle.travelledDistance;float;0 km bis 500000 km;null;
Kippstatus des Schiebedachs;Der Wert gibt an, ob das Schiebedach (sofern vorhanden) zum Zeitpunkt der Datenerfassung gekippt (OPEN), halb gekippt (INTERMEDIATE) oder geschlossen (CLOSED) war.;vehicle.cabin.sunroof.tiltStatus;string;CLOSED, INTERMEDIATE, OPEN, INVALID;;
Komfortzustand der Vorklimatisierung;Status des Komfortzustands der Vorklimatisierung.;vehicle.cabin.hvac.preconditioning.status.comfortState;string;NOT_ACTIVE, COMFORT_HEATING, COMFORT_COOLING, COMFORT_VENTILATION, DEFROST, COMFORT_UNDEFINED;;
Kopplung Mobiltelefon;Der Wert gibt an, ob zum Zeitpunkt der Datenerfassung ein Mobiltelefon mit dem Fahrzeug gekoppelt war oder der Kopplungsstatus unbekannt ist.;vehicle.cabin.infotainment.isMobilePhoneConnected;boolean;ASN_isFalse, ASN_isTrue, ASN_isUnknown;;
Kühlmitteltemperatur;Der Wert gibt die zum Zeitpunkt der Datenerfassung aktuelle Kühlmitteltemperatur in Grad Celsius an.;vehicle.drivetrain.internalCombustionEngine.engine.ect;int16;0 °C bis 150 °C;Celsius;
Ladeprofil;Das Ladeprofil informiert darüber, welcher Lademodus im Fahrzeug zuletzt ausgewählt war. Gegebenenfalls wird dieses CarData-Element auch für Fahrzeuge ohne elektrischen Antrieb verwendet, um einzelne Attribute, wie z.B. die Einstellung der Vorklimatisierung, anzuzeigen.;vehicle.drivetrain.electricEngine.charging.profile.mode;string;kWh;;
Lenkradheizung;Istwert der Lenkradheizung in Prozent.;vehicle.cabin.steeringWheel.heating;uint8;0% bis 100%;percent;
Linke Kofferraumtür geöffnet;Zustand der linken Kofferraumtür.;vehicle.body.trunk.left.door.isOpen;boolean;wahr, falsch;;
Maximale Anzahl Speicherung POIs im Navigationsgerät;Der Wert gibt an, wie viele POIs (Points of Interest) maximal im Navigationsgerät gespeichert werden können.;vehicle.cabin.infotainment.navigation.pointsOfInterests.max;uint16;25;;
Niedervoltbatterie;Der Wert gibt den zum Zeitpunkt der Datenerfassung gemessenen Ladezustand der Niedervoltbatterie in Prozent an.;vehicle.electricalSystem.battery.stateOfCharge;;-;%;
Nutzung des Motors zur Vorkonditionierung;Dieser Wert gibt an, ob zum Zeitpunkt der Datenerfassung der Motor während der Standklimatisierung aktiv war. Der Wert "Inactive" kann übermittelt werden, wenn die Vorkonditionierung nicht gebucht ist oder auch übermittelt werden, wenn die Vorkonditionierung zum Zeitpunkt der Datenerfassung nicht aktiv ist.;vehicle.vehicle.preConditioning.isRemoteEngineRunning;boolean;true, false;;
Obere Kofferraumtür geöffnet;Zustand der oberen Kofferraumtür.;vehicle.body.trunk.upper.door.isOpen;boolean;wahr, falsch;;
Position des Fahrzeugs – geographische Breite;Der Wert gibt die geographische Breite der Position an, auf der sich das Fahrzeug zum Zeitpunkt der Datenerfassung befunden hat. Die Breite erreicht Werte in Grad von 0 (am Äquator) bis maximal +90 auf der nördlichen respektive -90 auf der südlichen Halbkugel. Die Übertragung der GPS Position erfolgt unabhängig von der Aktivierung oder Deaktivierung der GPS Ortung in ihrem Fahrzeug über das Einstellungsmenü.;vehicle.cabin.infotainment.navigation.currentLocation.latitude;double;-90.0000 bis +90.0000;degrees;
Position des Fahrzeugs – geographische Länge;Der Wert gibt die geographische Länge der Position an, auf der sich das Fahrzeug zum Zeitpunkt der Datenerfassung befunden hat. Die Länge erreicht Werte in Grad von 0 (am Nullmeridian in Greenwich/Großbritannien) bis maximal +180 östlich respektive -180 westlich des Nullmeridians. Die Übertragung der GPS Position erfolgt unabhängig von der Aktivierung oder Deaktivierung der GPS Ortung in ihrem Fahrzeug über das Einstellungsmenü.;vehicle.cabin.infotainment.navigation.currentLocation.longitude;double;-180.0000 bis +180.0000;degrees;
Position des Fahrzeugs über Normalhöhennull;Der Wert gibt die Höhe in Metern über dem Meeresspiegel an, auf der sich das Fahrzeug zum Zeitpunkt der Datenerfassung befunden hat. Das Wertespektrum reicht von -100 bis 6000.;vehicle.cabin.infotainment.navigation.currentLocation.altitude;double;-100 m bis 6000 m oder -NA-;;
Position des Sonnenschirms;Position des Elements. 0 = Startposition, 100 = Endposition.;vehicle.cabin.sunroof.shade.position;uint8;0% bis 100%;percent;
Rechte Kofferraumtür geöffnet;Zustand der rechten Kofferraumtür.;vehicle.body.trunk.right.door.isOpen;boolean;wahr, falsch;;
Relative Position des Schiebedachs;Öffnungszustand des Schiebedachs in Prozent. -100 bedeutet vollständig gekippte Position. 0% entspricht vollständig geschlossen, 100% entspricht vollständig geöffnet.;vehicle.cabin.sunroof.relativePosition;int8;-100% bis 100%;percent;
Restreichweite;Der Wert gibt die zum Zeitpunkt der Datenerfassung gemessene Restreichweite des Tankinhalts in Kilometer an.;vehicle.cabin.infotainment.navigation.remainingRange;uint16;0 km bis 100.000 km;;
